2020 TAILS,1,1,L,"This substance was banned by the Volstead Act, which enforced the 18th Amendment. For ten points each:",
2020 TAILS,1,1,A,[E] Name this drink that was temporarily made illegal in the US during a period of the early 20th century known as Prohibition.,alcohol [accept specific kinds of alcoholic drinks]
2020 TAILS,1,1,B,"[H] Prohibition-era lawlessness was symbolized by these guns, which could be carried in violin cases. These specific guns were used both by bootleggers and law enforcement, most notably in the St. Valentine’s Day Massacre.",Tommy guns [or Thompson submachine guns; prompt on submachine guns]
2020 TAILS,1,1,C,"[M] This man, who was named “Public Enemy Number One'' in 1930, ordered the St. Valentine’s Day Massacre. This notorious gangster also known as “Scarface” was later arrested and sent to Alcatraz prison.",Al Capone [or Alphonse Gabriel Capone]
2020 TAILS,1,2,L,Two types of this substance are distinguished by surface texture and are called a’a (AH-ah) and pahoehoe (PUH-hoy-ay-ho-ay). For ten points each:,
2020 TAILS,1,2,A,"[E] Name this kind of molten rock that can erupt from volcanoes. When this substance is below the Earth’s surface, it is called magma instead.",lava
2020 TAILS,1,2,B,"[M] This kind of volcano is formed by basaltic lava, which flows relatively quickly and thus gives them shallow sides. These volcanoes are contrasted with cinder cone and stratovolcanoes.",shield volcanoes
2020 TAILS,1,2,C,"[H] When their magma chambers are emptied, which often occurs during explosive eruptions, volcanoes can collapse into these structures. Crater Lake is found in one of these depressions at the top of volcanoes.",caldera
2020 TAILS,1,3,L,The narrator of this poem asks its title creature “What immortal hand or eye” could “frame thy frightful symmetry?” For ten points each:,
2020 TAILS,1,3,A,"[H] Name this poem, included in Songs of Experience as the counterpart to “The Lamb” from Songs of Innocence. This poem’s opening stanza describes the title creature “burning bright, / In the forests of the night.”",“The Tyger”
2020 TAILS,1,3,B,[M] “The Tyger” was written by this English Romantic poet of “A Poison Tree.” This poet imitated Biblical text in his The Marriage of Heaven and Hell.,William Blake
2020 TAILS,1,3,C,[E] Blake wrote a poem about this city that describes the crying of its chimney-sweepers in the third stanza. That poem opens with its narrator wandering “Near where the charter’d Thames does flow.”,London
2020 TAILS,1,4,L,"In one role, this actress played a Los Angeles doctor who forms a no-romance pact with a friend played by Ashton Kutcher. For ten points each:",
2020 TAILS,1,4,A,[M] Name this actress who played Emma Kurtzman in the movie No Strings Attached. This actress also played Jackie Kennedy in the movie Jackie and Padme Amidala in several Star Wars movies.,Natalie Portman [accept Neta-Lee Hershlag]
2020 TAILS,1,4,B,"[H] Portman played Evey (eh-VEE) Hammond, who becomes a vigilante’s protege, in this movie. This movie based on an Alan Moore graphic novel tells the story of a Guy Fawkes mask-wearing anarchist with a single-letter name.",V for Vendetta [accept V]
2020 TAILS,1,4,C,"[E] Portman also played Jane Foster, a scientist who becomes the love interest of the title character in this movie. This movie centers on the title Norse thunder god’s attempts to prove himself worthy, by lifting the hammer Mjolnir (MYOL-neer).",Thor
2020 TAILS,1,5,L,This country’s port city of Chittagong has recently become home to many Rohingya Muslims seeking asylum from nearby Myanmar. For ten points each:,
2020 TAILS,1,5,A,"[E] Name this country centered around the Brahmaputra Delta that is mostly surrounded by India. In 1972, this country achieved independence from Pakistan.",Bangladesh [or People’s Republic of Bangladesh or Gana Prajatantri Bangladesh]
